epoch,accuracy,loss,val_accuracy,val_loss
0,0.44063106179237366,1.2628166675567627,0.5821325778961182,1.0611493587493896
1,0.6069748401641846,0.9451306462287903,0.5360230803489685,1.0555784702301025
2,0.6814281940460205,0.7902741432189941,0.6167147159576416,0.9896122217178345
3,0.7306947112083435,0.674571692943573,0.5878962278366089,1.061055064201355
4,0.7608635425567627,0.6128842830657959,0.6051872968673706,1.0326257944107056
5,0.7968447208404541,0.5217162370681763,0.5821325778961182,1.0879021883010864
6,0.8239690065383911,0.4752523899078369,0.5619596838951111,1.3003276586532593
7,0.8447273969650269,0.4252035915851593,0.590778112411499,1.2801810503005981
8,0.87129807472229,0.35841208696365356,0.6023054718971252,1.238058090209961
9,0.8854137659072876,0.31140315532684326,0.5763688683509827,1.5583893060684204
10,0.8912261128425598,0.29721957445144653,0.6080691814422607,1.3222607374191284
11,0.922778844833374,0.2310776710510254,0.6023054718971252,1.4647291898727417
12,0.9283144474029541,0.21195800602436066,0.5965417623519897,1.5384021997451782
13,0.9349570870399475,0.19665184617042542,0.590778112411499,1.6393935680389404
14,0.9349570870399475,0.19455231726169586,0.5706051588058472,1.7935340404510498
15,0.9349570870399475,0.18786019086837769,0.5994236469268799,1.7849435806274414
16,0.947965681552887,0.1472085565328598,0.5706051588058472,1.799514651298523
17,0.9540547728538513,0.13540823757648468,0.5994236469268799,1.9042984247207642
18,0.9570993781089783,0.13547863066196442,0.5850144028663635,1.8331295251846313
19,0.9670633673667908,0.10268190503120422,0.5648415088653564,2.0772528648376465
20,0.9662330746650696,0.09990869462490082,0.6109510064125061,2.127500057220459
21,0.9640188217163086,0.1156688779592514,0.6023054718971252,2.083406925201416
22,0.972045361995697,0.08809095621109009,0.5734870433807373,2.064516544342041
23,0.9717686176300049,0.08285518735647202,0.5878962278366089,2.193828582763672
24,0.9626349210739136,0.10909859836101532,0.5677233338356018,2.335968494415283
