epoch,accuracy,loss,val_accuracy,val_loss
0,0.38776639103889465,1.3166377544403076,0.48991355299949646,1.27665114402771
1,0.6590091586112976,0.9545088410377502,0.680115282535553,0.8891327977180481
2,0.7979518175125122,0.5723555684089661,0.6829971075057983,0.8074272274971008
3,0.847771942615509,0.4153997004032135,0.7118155360221863,0.7937850952148438
4,0.8831995725631714,0.3289265036582947,0.6829971075057983,0.8165102005004883
5,0.9070025086402893,0.2695577144622803,0.6714697480201721,0.890609860420227
6,0.9233323931694031,0.22599180042743683,0.6916426420211792,0.9111714959144592
7,0.9352338910102844,0.1909475475549698,0.680115282535553,1.0338026285171509
8,0.950733482837677,0.16686008870601654,0.6916426420211792,1.061376690864563
9,0.9595903754234314,0.14040257036685944,0.6858789920806885,1.1355080604553223
10,0.9659562706947327,0.12567634880542755,0.7002881765365601,1.1804702281951904
11,0.9659562706947327,0.11750642210245132,0.6829971075057983,1.2494421005249023
12,0.9706615209579468,0.10329439491033554,0.6974063515663147,1.2543514966964722
13,0.9706615209579468,0.09992866218090057,0.6916426420211792,1.3138259649276733
14,0.9709382653236389,0.09068898111581802,0.7002881765365601,1.3422406911849976
15,0.974259614944458,0.08636954426765442,0.6974063515663147,1.3734467029571533
16,0.976473867893219,0.07867130637168884,0.7089337110519409,1.4263159036636353
17,0.9761970639228821,0.0788511261343956,0.6916426420211792,1.4607633352279663
18,0.9767506122589111,0.07452011853456497,0.6829971075057983,1.4478049278259277
19,0.9753667116165161,0.07365243881940842,0.6945244669914246,1.466734528541565
20,0.9773041605949402,0.06453721225261688,0.6945244669914246,1.4906896352767944
21,0.9767506122589111,0.06946097314357758,0.6772334575653076,1.5438631772994995
22,0.9795184135437012,0.06312069296836853,0.6685879230499268,1.5354962348937988
23,0.9784113168716431,0.06500372290611267,0.7002881765365601,1.5758492946624756
24,0.9786880612373352,0.0624619759619236,0.6916426420211792,1.5476957559585571
